word,translation,phonetic,type,example_en,example_cn,tags
anticipate,期望，盼望,,verb,We anticipate a large turnout for the event.,我们预计这次活动的出席人数会很多。,"附加词汇"
commercial,广告节目,,noun,The TV show was interrupted by commercials.,电视节目被广告打断了。,"附加词汇"
showing,放映,,noun,The movie's evening showing is sold out.,这部电影的晚场放映票已售罄。,"附加词汇"
feature,特载,,noun/verb,The magazine features a story on technology.,这杂志刊登了一篇关于科技的报道。,"附加词汇"
illustration,插图,,noun,The book is full of colorful illustrations.,这本书里充满了色彩斑斓的插图。,"附加词汇"
discount,折扣,,noun,Students get a 10% discount.,学生可享受10%的折扣。,"附加词汇"
recruit,征募,,verb,The company is recruiting new engineers.,公司正在招聘新工程师。,"附加词汇"
documentary,纪录片,,noun,We watched a documentary about wildlife.,我们看了一部关于野生动物的纪录片。,"附加词汇"
spokesperson,代言人,,noun,The company spokesperson made a statement.,公司发言人发表了声明。,"附加词汇"
target,目标,,noun/verb,Our target is to increase sales by 20%.,我们的目标是将销售额提高20%。,"附加词汇"
product,产品,,noun,They launched a new tech product.,他们推出了一款新科技产品。,"附加词汇"
launch,上市,,verb,The new model will launch next month.,新款将于下个月上市。,"附加词汇"
affect,影响,,verb,Bad weather can affect flight schedules.,恶劣天气会影响航班时刻表。,"附加词汇"
ragweed,豚草,,noun,Ragweed pollen causes allergies in autumn.,豚草花粉会在秋天引起过敏。,"附加词汇"
allergy,过敏,,noun,He has a severe peanut allergy.,他对花生严重过敏。,"附加词汇"
suffer,患病，受病痛折磨,,verb,Many people suffer from seasonal allergies.,许多人患有季节性过敏。,"附加词汇"
sneeze,打喷嚏,,verb,Dust always makes me sneeze.,灰尘总让我打喷嚏。,"附加词汇"
runny,流鼻涕的,,adjective,He has a runny nose and a cough.,他流鼻涕还咳嗽。,"附加词汇"
itchy,痒的,,adjective,My eyes are watery and itchy.,我的眼睛又流泪又发痒。,"附加词汇"
watery,(眼睛)泪汪汪的,,adjective,The flu left her with watery eyes.,流感让她眼泪汪汪。,"附加词汇"
institute,研究所，协会,,noun,He works at a research institute.,他在一家研究所工作。,"附加词汇"
volunteer,志愿者,,noun/verb,She works as a hospital volunteer.,她在医院当志愿者。,"附加词汇"
participate,参加，参与,,verb,Everyone is encouraged to participate.,鼓励大家积极参与。,"附加词汇"
experimental,实验的,,adjective,The drug is still at the experimental stage.,这种药物仍处于实验阶段。,"附加词汇"
qualification,资格,,noun,What qualifications do you need for this job?,做这份工作需要什么资格？,"附加词汇"
procedure,程序，步骤,,noun,Follow the correct safety procedures.,遵循正确的安全程序。,"附加词汇"
compensation,补偿金,,noun,He received compensation for the injury.,他因受伤获得了赔偿。,"附加词汇"
contribute,贡献,,verb,Everyone contributed to the project's success.,每个人都为项目的成功做出了贡献。,"附加词汇"
regular,正常的,,adjective,This is a regular check-up.,这是一次常规检查。,"附加词汇"
medical,医学的,,adjective,She needs immediate medical attention.,她需要立即接受医疗救治。,"附加词汇"
breakthrough,突破，突破性进展,,noun,Scientists made a major medical breakthrough.,科学家取得了一项重大的医学突破。,"附加词汇"
cure,治疗，治愈,,noun/verb,Scientists are searching for a cure for the disease.,科学家们正在寻找治愈这种疾病的方法。,"附加词汇"
spread,传播，蔓延,,verb,The news spread quickly.,消息传得很快。,"附加词汇"
come forward,自告奋勇，自愿,,phrase,Several witnesses came forward with information.,几名目击者主动提供线索。,"附加词汇"
climate,气候,,noun,The climate here is very mild.,这里的气候非常温和。,"附加词汇"
specific,具体的,,adjective,Could you be more specific?,你能具体点吗？,"附加词汇"
participant,参加者，参与者,,noun,All participants must register online.,所有参与者都必须在线注册。,"附加词汇"
condition,条件，状况,,noun,The car is in excellent condition.,这辆车状况极佳。,"附加词汇"
contribution,贡献,,noun,Thank you for your valuable contribution.,感谢您宝贵的贡献。,"附加词汇"
deny,拒绝,,verb,He denies any involvement in the crime.,他否认参与这起犯罪。,"附加词汇"
agency,代理，机构,,noun,She works for a travel agency.,她在一家旅行社工作。,"附加词汇"
bankruptcy,破产，倒闭,,noun,The company filed for bankruptcy.,这家公司申请了破产。,"附加词汇"
debt,债，债务,,noun,He is trying to pay off his debts.,他正试图还清债务。,"附加词汇"
exclusive,独家的，专有的,,adjective,This is an exclusive interview.,这是一次独家采访。,"附加词汇"
compliance,按照，遵照,,noun,The company ensures compliance with safety laws.,公司确保遵守安全法。,"附加词汇"
repair,恢复，修复,,noun/verb,My phone is in for repair.,我的手机送修了。,"附加词汇"
legally,合法地,,adverb,The contract is legally binding.,这份合同具有法律约束力。,"附加词汇"
strictly,严格地,,adverb,Smoking is strictly prohibited here.,这里严禁吸烟。,"附加词汇"
confidential,秘密的，机密的,,adjective,This information is strictly confidential.,此信息为绝密。,"附加词汇"
consolidate,合并,,verb,The two companies decided to consolidate.,两家公司决定合并。,"附加词汇"
tax breaks,减税，税额优惠,,phrase,The government offered tax breaks for small businesses.,政府为小企业提供了税收减免。,"附加词汇"
income tax,所得税,,noun,How much income tax do you pay?,你交多少所得税？,"附加词汇"
invest,投资,,verb,He decided to invest in real estate.,他决定投资房地产。,"附加词汇"
potential,潜在的，可能的,,adjective/noun,We see great potential in this market.,我们在这个市场看到了巨大的潜力。,"附加词汇"
counseling,咨询服务,,noun,She offers career counseling.,她提供职业咨询服务。,"附加词汇"
manufacturing,制造业,,noun,He works in the manufacturing sector.,他在制造业工作。,"附加词汇"
take time off,休假，请假,,phrase,I need to take a few days off.,我需要请几天假。,"附加词汇"
sightseeing,观光,,noun,We went sightseeing in Paris.,我们在巴黎观光了。,"附加词汇"
acquire,得到，购得,,verb,The company acquired a smaller rival.,这家公司收购了一个较小的竞争对手。,"附加词汇"
language skills,语言能力,,phrase,Good language skills are required for the job.,这份工作需要良好的语言能力。,"附加词汇"
permission,许可,,noun,You need permission to enter this room.,进这个房间需要获得许可。,"附加词汇"
extend,延长,,verb,The deadline was extended by two days.,截止日期延长了两天。,"附加词汇"
justify,对…做出解释，证明…是正当的,,verb,How can you justify your actions?,你如何证明你的行为是正当的？,"附加词汇"
update,最新信息,,noun/verb,Please check for the latest software update.,请检查最新的软件更新。,"附加词汇"
negotiate,谈判,,verb,They are trying to negotiate a better deal.,他们正试图谈判达成一个更好的交易。,"附加词汇"
valid,有效的,,adjective,Your passport is still valid.,你的护照仍然有效。,"附加词汇"
in conjunction with,与…一起,,phrase,The event was held in conjunction with local businesses.,该活动与当地企业联合举办。,"附加词汇"
exclude,把…排除在外,,verb,The price does not exclude tax.,价格不含税。,"附加词汇"
in cash,用现金付账,,phrase,Can I pay in cash?,我可以用现金付账吗？,"附加词汇"
regular price,正常价格,,phrase,The item is on sale at half the regular price.,这件商品半价出售。,"附加词汇"
ergonomic,人体工学的,,adjective,He bought an ergonomic chair for his office.,他为办公室买了一把人体工学椅。,"附加词汇"
shipping,(货物的)运输,,noun,Shipping is free for orders over $50.,满50美元订单免运费。,"附加词汇"
organize,组织,,verb,She organized a charity event.,她组织了一场慈善活动。,"附加词汇"
convention,大会，会议,,noun,The annual tech convention is held in Las Vegas.,年度科技大会在拉斯维加斯举行。,"附加词汇"
festival,节日；庆祝,,noun,The music festival attracts thousands of fans.,音乐节吸引了成千上万的粉丝。,"附加词汇"
corporate,公司的,,adjective,He works in corporate finance.,他从事公司财务工作。,"附加词汇"
complaint,投诉，抱怨,,noun,We received a customer complaint.,我们收到了一起客户投诉。,"附加词汇"
lectern,讲台,,noun,The speaker stood behind the lectern.,演讲者站在讲台后面。,"附加词汇"
exposition,博览会，展览会,,noun,She attended the trade exposition.,她参加了贸易博览会。,"附加词汇"
pop-up,有弹起装置的,,adjective,A pop-up window appeared on the screen.,屏幕上弹出一个窗口。,"附加词汇"
unfortunate,不幸的,,adjective,It was an unfortunate accident.,这是一场不幸的事故。,"附加词汇"
originally,本来，原来,,adverb,The meeting was originally scheduled for Monday.,会议原本定于周一举行。,"附加词汇"
suggestion,建议，提议,,noun,Thank you for your valuable suggestions.,谢谢你宝贵的建议。,"附加词汇"
inventory,存货清单，详细目录,,noun,The store is closed for inventory.,商店关门盘点库存。,"附加词汇"
eventually,终于，最后,,adverb,He eventually realized his mistake.,他终于意识到了自己的错误。,"附加词汇"
outsource,外包,,verb,The company decided to outsource customer service.,公司决定将客服外包。,"附加词汇"
process,进程，过程,,noun/verb,Learning a language is a slow process.,学习一门语言是一个缓慢的过程。,"附加词汇"
apologize,道歉,,verb,I want to apologize for the delay.,我想为延误道歉。,"附加词汇"
prestige,名贵的，讲究派头的,,adjective,It is a school with high prestige.,这是一所声誉崇高的学校。,"附加词汇"
discerning,有识别力的；敏锐的,,adjective,The restaurant caters to discerning diners.,这家餐厅迎合挑剔的食客。,"附加词汇"
real estate,房地产,,noun,He works in real estate.,他从事房地产工作。,"附加词汇"
residence,住宅，宅邸,,noun,This building is the President's official residence.,这栋建筑是总统的官邸。,"附加词汇"
upscale,高消费阶层的，迎合高层次消费者的,,adjective,They live in an upscale neighborhood.,他们住在高档社区。,"附加词汇"
mansion,公寓,,noun,They live in a large mansion.,他们住在一栋大宅邸里。,"附加词汇"
sloping,倾斜的，有坡度的,,adjective,The house is built on a sloping hill.,房子建在倾斜的山坡上。,"附加词汇"
tastefully,风雅地，高雅地,,adverb,The room was tastefully decorated.,房间布置得很有品味。,"附加词汇"
stunning,漂亮的,,adjective,She wore a stunning dress.,她穿了一件极漂亮的裙子。,"附加词汇"
sandstone,砂岩,,noun,The historic building is made of sandstone.,这座历史建筑是由砂岩建造的。,"附加词汇"
conversion,建筑,,noun,The old warehouse underwent a conversion into apartments.,旧仓库被改造成了公寓。,"附加词汇"
vibrant,充满活力的,,adjective,Tokyo is a vibrant city.,东京是一个充满活力的城市。,"附加词汇"
tranquil,安静的,,adjective,We spent a tranquil weekend in the countryside.,我们在乡度过了宁静的周末。,"附加词汇"
courtyard,庭院，天井,,noun,The hotel has a lovely courtyard.,这家酒店有一个可爱的庭院。,"附加词汇"
endeavor,努力,,noun/verb,His endeavor to succeed paid off.,他取得成功的努力有了回报。,"附加词汇"
sophisticated,不落俗套的,,adjective,She has a sophisticated taste in art.,她对艺术有着成熟且独特的品味。,"附加词汇"
semi-circular,半圆的,,adjective,The room has a semi-circular window.,房间里有一扇半圆形的窗户。,"附加词汇"
adjoin,毗邻，邻接,,verb,His office adjoins mine.,他的办公室与我的办公室相邻。,"附加词汇"
inspection,参观，视察,,noun/verb,The factory is open for safety inspection.,工厂正开放进行安全检查。,"附加词汇"
exhibition,展览,,noun,We visited an art exhibition.,我们参观了一个艺术展。,"附加词汇"
attention,注意，关注,,noun,May I have your attention, please?,请大家注意一下好吗？,"附加词汇"
architect,建筑师,,noun,The architect designed the new museum.,这位建筑师设计了这座新博物馆。,"附加词汇"
candidate,求职者，候选人,,noun,There are three candidates for the job.,有三位候选人竞争这份工作。,"附加词汇"
interviewer,面试官,,noun,The interviewer asked me a difficult question.,面试官问了我一个难题。,"附加词汇"
record,录音,,noun/verb,Please record the meeting.,请把会议录音。,"附加词汇"
inform,通知,,verb,Please inform us of any changes.,如有任何变动请通知我们。,"附加词汇"
termination,终止,,noun,The contract allows for early termination.,合同允许提前终止。,"附加词汇"
impression,印象,,noun,He made a good impression at the interview.,他在面试中留下了好印象。,"附加词汇"
R&D Department,研发部门,,noun,She works in the R&D department.,她在研发部门工作。,"附加词汇"
consideration,考虑,,noun,Thank you for your consideration.,感谢您的考虑。,"附加词汇"
committee,委员会,,noun,The committee approved the plan.,委员会批准了该计划。,"附加词汇"
annual salary,年薪,,phrase,The position offers an attractive annual salary.,这个职位提供诱人的年薪。,"附加词汇"
paid vacation,带薪假期,,phrase,Employees are entitled to two weeks of paid vacation.,员工有权享受两周的带薪假期。,"附加词汇"
comprehensive,综合的，全面的,,adjective,We offer comprehensive insurance coverage.,我们提供全面的保险保障。,"附加词汇"
identical,相同的，一致的,,adjective,Their opinions are identical.,他们的观点完全一致。,"附加词汇"
financial assistance,经济支持,,phrase,He applied for financial assistance for his studies.,他申请了学业经济资助。,"附加词汇"
turn down,拒绝,,verb phrase,She had to turn down the offer.,她不得不拒绝这个提议。,"附加词汇"
terms,条件；项目,,noun,Please read the terms and conditions.,请阅读条款和条件。,"附加词汇"
annual,一年一次的,,adjective,The company holds an annual meeting.,公司每年举行一次会议。,"附加词汇"
fundraiser,资金募集活动，募捐,,noun,They held a charity fundraiser.,他们举办了一场慈善募捐活动。,"附加词汇"
proceeds,收入，收益,,noun,All proceeds will go to charity.,所有收益将捐给慈善机构。,"附加词汇"
community,社区,,noun,We serve the local community.,我们服务当地社区。,"附加词汇"
the elderly,老人,,noun,The center provides care for the elderly.,该中心为老人提供照料。,"附加词汇"
cashier,收银员,,noun,Please pay at the cashier.,请在收银台付款。,"附加词汇"
item,商品,,noun,She added several items to her shopping cart.,她在购物车里添加了几件商品。,"附加词汇"
total,总计，总数,,noun/verb,The total cost was $100.,总费用是100美元。,"附加词汇"
amount,数额,,noun,The amount of money needed is huge.,所需的金额巨大。,"附加词汇"
change,零钱，找头,,noun/verb,Keep the change.,不用找零了。,"附加词汇"
thoroughly,完全地，非常,,adverb,Please read the contract thoroughly.,请仔细阅读合同。,"附加词汇"
reattach,重新安装,,verb,He reattached the broken handle.,他把断了的把手重新装上了。,"附加词汇"
refund,退款,,noun/verb,I would like to request a refund.,我想申请退款。,"附加词汇"
have a chat with sb.,与某人聊天,,phrase,Can I have a chat with you?,我能跟你聊聊吗？,"附加词汇"
staff,员工,,noun,The company has a friendly staff.,公司有一支友善的员工队伍。,"附加词汇"
revision,修订,,noun,The document is ready for revision.,这份文件可以准备修订了。,"附加词汇"
time off,休假,,phrase,She requested a day off.,她请了一天假。,"附加词汇"
orally,口头上地,,adverb,The agreement was made orally.,协议是口头达成的。,"附加词汇"
fill out,填写,,phrase,Please fill out this form.,请填写这张表格。,"附加词汇"
submit,提交,,verb,Submit your application before Friday.,在周五之前提交你的申请。,"附加词汇"
immediate supervisor,直接上级，直接领导,,phrase,Report any issues to your immediate supervisor.,向你的直接上级汇报任何问题。,"附加词汇"
obtain,获得,,verb,You can obtain a map at the front desk.,你可以前台领一份地图。,"附加词汇"
department,部门,,noun,She works in the marketing department.,她在市场部工作。,"附加词汇"
in advance,提前,,phrase,Please book your tickets in advance.,请提前订票。,"附加词汇"
consecutive,连续的,,adjective,It rained for three consecutive days.,连续下了三天雨。,"附加词汇"
carry out,执行，完成,,verb phrase,We must carry out the plan.,我们必须执行这个计划。,"附加词汇"
extended family,大家庭,,phrase,They live with their extended family.,他们和大家庭住在一起。,"附加词汇"
attach,附上,,verb,Please attach your resume to the email.,请将简历附在邮件中。,"附加词汇"
scan,扫描,,verb,Please scan this QR code.,请扫描这个二维码。,"附加词汇"
courthouse,法院,,noun,The trial took place at the courthouse.,审判在法院举行。,"附加词汇"
currently,目前,,adverb,He is currently working on a new project.,他目前正在做一个新项目。,"附加词汇"
look over,翻阅,,verb phrase,Please look over the report.,请翻阅一下这份报告。,"附加词汇"
upload,上传,,verb,Upload your photo to the website.,把你的照片上传到网站上。,"附加词汇"
normally,通常地,,adverb,Normally, I wake up at 7 AM.,我通常早上7点醒来。,"附加词汇"
decline,婉拒,,verb,She had to decline the invitation.,她不得不婉拒邀请。,"附加词汇"
written plan,书面计划,,phrase,Submit a written plan by tomorrow.,明天前提交一份书面计划。,"附加词汇"
reconsider,重新考虑,,verb,Please reconsider your decision.,请重新考虑你的决定。,"附加词汇"
adjust,调解，校正,,verb,You need to adjust your chair height.,你需要调整椅子的高度。,"VITAMIN GRAMMAR"
allocation,分配，分派,,noun,The allocation of resources was discussed.,讨论了资源的分配问题。,"VITAMIN GRAMMAR"
distribute,分发，分,,verb,They distributed flyers on the street.,他们在街上分发传单。,"VITAMIN GRAMMAR"
fund,资金，财源,,noun/verb,They raised funds for charity.,他们为慈善事业筹集资金。,"VITAMIN GRAMMAR"
division,部门,,noun,He works in the software division.,他在软件部门工作。,"VITAMIN GRAMMAR"
scramble,仓促行动,,verb/noun,Workers scrambled to finish the task.,工人们仓促完成任务。,"VITAMIN GRAMMAR"
bid,投标,,noun/verb,Three companies submitted a bid.,三家公司提交了投标书。,"VITAMIN GRAMMAR"
client,顾客,,noun,We value every client.,我们重视每一位客户。,"VITAMIN GRAMMAR"
part (s) of,……的一部分,,phrase,This is part of our strategy.,这是我们策略的一部分。,"VITAMIN GRAMMAR"
maintenance,整理，管理,,noun,The building is closed for maintenance.,大楼因维护而关闭。,"VITAMIN GRAMMAR"
major,主要的，大规模的,,adjective,This is a major breakthrough.,这是一项重大的突破。,"VITAMIN GRAMMAR"
publication,定期出版物，书籍,,noun,The research paper is awaiting publication.,这篇研究论文正等待出版。,"VITAMIN GRAMMAR"
current,现在的，现行的,,adjective,What is your current address?,你目前的地址是什么？,"VITAMIN GRAMMAR"
the number of,……的量，数,,phrase,The number of students has increased.,学生人数有所增加。,"VITAMIN GRAMMAR"
expenditure,(个人或团体的) 支出，消费,,noun,We need to cut down on expenditures.,我们需要削减开支。,"VITAMIN GRAMMAR"
manager,部门经理,,noun,She was promoted to manager.,她被晋升为经理。,"VITAMIN GRAMMAR"
executive,董事，理事,,noun,He is a senior corporate executive.,他是公司的高级行政主管。,"VITAMIN GRAMMAR"
accounting,会计,,noun,She studied accounting in college.,她在大学学的是会计。,"VITAMIN GRAMMAR"
general,通常的，一般的,,adjective,This is a general rule.,这是一条常规。,"VITAMIN GRAMMAR"
talk about + 事物,谈论某事,,phrase,We talked about the project.,我们讨论了那个项目。,"VITAMIN GRAMMAR"
talk with [to] + 人,和某人谈话,,phrase,I need to talk with you.,我需要跟你谈谈。,"VITAMIN GRAMMAR"
advanced,最新的,,adjective,This is an advanced course in English.,这是一门高级英语课程。,"VITAMIN GRAMMAR"
spreadsheet,(电脑) 空白表格程序,,noun,Enter the data into the spreadsheet.,将数据输入电子表格。,"VITAMIN GRAMMAR"
list,罗列,,noun/verb,Make a list of things to buy.,列一张要买的东西的清单。,"VITAMIN GRAMMAR"
expenditures,支出，经费,,noun,Company expenditures rose this year.,公司今年的开支上升了。,"VITAMIN GRAMMAR"
crew,(全体) 职员，船员,,noun,The flight crew was very helpful.,机组人员非常乐于助人。,"VITAMIN GRAMMAR"
power outage,停电,,noun,The storm caused a power outage.,暴风雨导致了停电。,"VITAMIN GRAMMAR"
assign A to do,让 A 负责……，赋予重任,,phrase,They assigned him to lead the team.,他们指派他领导这个团队。,"VITAMIN GRAMMAR"
several market research,几项市场调查,,phrase,We conducted several market researches.,我们做了几项市场调查。,"VITAMIN GRAMMAR"
